,Pattern,CPR,Encoding,Pattern Complexity,Accuracy,F1Score,Examples,Precision,TH,Recall,Concept,NumExp
212,Triplet,154.74,Agent,10,57.4,34.06,[ 310 1060 1093  279  339],75.34,0.2,22.0,Key,5
213,Triplet,121.67,Agent,10,51.0,7.55,[ 310 1060 1093  279  339],66.67,0.5,4.0,Key,5
214,Triplet,186.70999999999998,Agent,10,65.0,50.7,[ 768  173 1046  178  761],85.71,0.2,36.0,Orb,5
215,Triplet,163.20000000000002,Agent,10,54.4,16.18,[ 768  173 1046  178  761],100.0,0.5,8.8,Orb,5
216,Single,216.60999999999999,Agent,10,62.0,71.98,[597 492 395 417 403],57.01,0.2,97.6,Level Door,5
217,Single,211.76,Agent,10,72.4,67.3,[597 492 395 417 403],82.56,0.5,56.8,Level Door,5
218,Single,195.24,Agent,10,55.0,65.96,[757 793 779 825 835],53.04,0.2,87.2,Green Door,5
219,Single,194.89999999999998,Agent,10,67.4,62.0,[757 793 779 825 835],74.3,0.5,53.2,Green Door,5
220,Single,198.08999999999997,Agent,10,55.8,66.76,[1032  875 1016  955  910],53.49,0.2,88.8,Key Door,5
221,Single,112.35000000000001,Agent,10,50.6,12.72,[1032  875 1016  955  910],54.55,0.5,7.2,Key Door,5
222,Single,199.77999999999997,Agent,10,62.0,67.46,[1193 1264 1333 1189 1104],58.98,0.2,78.8,Other Door,5
223,Single,188.04999999999998,Agent,10,65.2,50.57,[1193 1264 1333 1189 1104],87.25,0.5,35.6,Other Door,5
224,Single,163.70999999999998,Agent,10,47.0,56.49,[318 847 248 837 821],47.91,0.2,68.8,Key,5
225,Single,115.97,Agent,10,48.8,28.09,[318 847 248 837 821],47.17,0.5,20.0,Key,5
226,Single,221.67000000000002,Agent,10,66.6,73.87,[ 764 1010 1003  175  559],60.67,0.2,94.4,Orb,5
227,Single,207.62,Agent,10,71.2,64.36,[ 764 1010 1003  175  559],84.42,0.5,52.0,Orb,5
228,Double,235.91000000000003,Agent,10,79.4,77.76,[449 433 555 406 453],84.51,0.2,72.0,Level Door,5
229,Double,191.62,Agent,10,66.0,51.71,[449 433 555 406 453],89.22,0.5,36.4,Level Door,5
230,Double,175.45999999999998,Agent,10,60.4,57.14,[710 632 736 757 777],62.26,0.2,52.8,Green Door,5
231,Double,167.63,Agent,10,60.6,48.29,[710 632 736 757 777],70.23,0.5,36.8,Green Door,5
232,Double,165.88,Agent,10,60.2,47.22,[ 973 1012  908  878  924],70.08,0.2,35.6,Key Door,5
233,Double,144.17999999999998,Agent,10,54.2,20.21,[ 973 1012  908  878  924],78.38,0.5,11.6,Key Door,5
234,Double,180.24,Agent,10,60.8,59.67,[1234 1336 1288 1342 1183],61.44,0.2,58.0,Other Door,5
235,Double,121.54,Agent,10,51.6,20.91,[1234 1336 1288 1342 1183],57.14,0.5,12.8,Other Door,5
236,Double,167.0,Agent,10,60.4,48.44,[281 213 296 259 340],69.4,0.2,37.2,Key,5
237,Double,146.41,Agent,10,55.8,30.72,[281 213 296 259 340],71.01,0.5,19.6,Key,5
238,Double,218.13,Agent,10,72.6,72.76,[ 570  573 1306  582  158],72.33,0.2,73.2,Orb,5
